alpha_deg,CL
-15.00,-1.790321229310e+00
-14.50,-1.731947241721e+00
-14.00,-1.673441248728e+00
-13.50,-1.614807708888e+00
-13.00,-1.556051090543e+00
-12.50,-1.497175871480e+00
-12.00,-1.438186538588e+00
-11.50,-1.379087587513e+00
-11.00,-1.319883522313e+00
-10.50,-1.260578855115e+00
-10.00,-1.201178105767e+00
-9.50,-1.141685801489e+00
-9.00,-1.082106476533e+00
-8.50,-1.022444671827e+00
-8.00,-9.627049346326e-01
-7.50,-9.028918181924e-01
-7.00,-8.430098813825e-01
-6.50,-7.830636883623e-01
-6.00,-7.230578082240e-01
-5.50,-6.629968146421e-01
-5.00,-6.028852855223e-01
-4.50,-5.427278026502e-01
-4.00,-4.825289513395e-01
-3.50,-4.222933200801e-01
-3.00,-3.620255001856e-01
-2.50,-3.017300854413e-01
-2.00,-2.414116717510e-01
-1.50,-1.810748567846e-01
-1.00,-1.207242396246e-01
-0.50,-6.036442041341e-02
0.00,9.410536043995e-17
0.50,6.036442041341e-02
1.00,1.207242396246e-01
1.50,1.810748567846e-01
2.00,2.414116717510e-01
2.50,3.017300854413e-01
3.00,3.620255001856e-01
3.50,4.222933200801e-01
4.00,4.825289513395e-01
4.50,5.427278026502e-01
5.00,6.028852855223e-01
5.50,6.629968146421e-01
6.00,7.230578082240e-01
6.50,7.830636883623e-01
7.00,8.430098813825e-01
7.50,9.028918181924e-01
8.00,9.627049346326e-01
8.50,1.022444671827e+00
9.00,1.082106476533e+00
9.50,1.141685801489e+00
10.00,1.201178105767e+00
10.50,1.260578855115e+00
11.00,1.319883522313e+00
11.50,1.379087587513e+00
12.00,1.438186538588e+00
12.50,1.497175871480e+00
13.00,1.556051090543e+00
13.50,1.614807708888e+00
14.00,1.673441248728e+00
14.50,1.731947241721e+00
15.00,1.790321229310e+00
