profil,vitesse_ms,angle_deg,L_kg,D_kg,L_N,D_N
NACA-0012,15,0,0.39,-0.029,3.8245935,-0.28439285
NACA-0012,15,0.5,0.447,-0.0294,4.3835725,-0.28831551
NACA-0012,15,1,0.504,-0.0298,4.9425516,-0.29223817
NACA-0012,15,1.5,0.561,-0.0302,5.5015306,-0.29616083
NACA-0012,15,2,0.618,-0.0306,6.0605097,-0.30008349
NACA-0012,15,2.5,0.675,-0.031,6.6194887,-0.30400615
NACA-0012,15,3,0.732,-0.0314,7.1784678,-0.30792881
NACA-0012,15,3.5,0.789,-0.0318,7.7374468,-0.31185147
NACA-0012,15,4,0.846,-0.0322,8.2964259,-0.31577413
NACA-0012,15,4.5,0.903,-0.0326,8.8554049,-0.31969679
NACA-0012,15,5,0.96,-0.033,9.414384,-0.32361945
NACA-0012,15,5.5,0.978,-0.0507,9.5909037,-0.49719715
NACA-0012,15,6,0.996,-0.0684,9.7674234,-0.67077486
NACA-0012,15,6.5,1.014,-0.0861,9.9439431,-0.84435256
NACA-0012,15,7,1.032,-0.1038,10.120463,-1.0179303
NACA-0012,15,7.5,1.05,-0.1215,10.296982,-1.191508
NACA-0012,15,8,1.068,-0.1392,10.473502,-1.3650857
NACA-0012,15,8.5,1.086,-0.1569,10.650022,-1.5386634
NACA-0012,15,9,1.104,-0.1746,10.826542,-1.7122411
NACA-0012,15,9.5,1.122,-0.1923,11.003061,-1.8858188
NACA-0012,15,10,1.14,-0.21,11.179581,-2.0593965
NACA-0012,15,10.5,1.135,-0.21735,11.130548,-2.1314754
NACA-0012,15,11,1.13,-0.2247,11.081515,-2.2035543
NACA-0012,15,11.5,1.125,-0.23205,11.032481,-2.2756331
NACA-0012,15,12,1.12,-0.2394,10.983448,-2.347712
NACA-0012,15,12.5,1.115,-0.24675,10.934415,-2.4197909
NACA-0012,15,13,1.11,-0.2541,10.885381,-2.4918698
NACA-0012,15,13.5,1.105,-0.26145,10.836348,-2.5639486
NACA-0012,15,14,1.1,-0.2688,10.787315,-2.6360275
NACA-0012,15,14.5,1.095,-0.27615,10.738282,-2.7081064
NACA-0012,15,15,1.09,-0.2835,10.689248,-2.7801853
